"no_of_test","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51"
"2",18.4601845999991,19.0601905999993,34.5603456000008,26.3502635000007,16.4901649000008,12.2901228999995,16.7601676000013,17.1901719000001,19.9301993000005,14.9801498000009,27.3502734999988,17.3301732999994,24.3702437000004,15.1801517999991,22.3302233000006,18.5401853999996,20.6602066000005,13.2001320000007,10.9901098999999,16.5001649999999,13.6701367000005,18.5901859000015,12.3101231,82.1308213000002,24.1002409999996,16.9401694000007,14.7801477999998,14.3701436999991,12.5401253999998,11.7301172999996,10.7801078,9.13009129999964,7.50007499999927,8.10008100000015,37.8003779999988,10.6101060999995,33.7503375000001,20.6602065999999,31.2303122999988,27.9302793000003,27.2202722000006,25.7502575000005,25.1002509999987,18.0801808000007,19.7801978000007,24.5702456999992,8.43008430000058,10.6801068000009,5.83005830000051,9.41009410000073
"3",41.9699999999985,44.6299999999997,83.1400000000001,62.1600000000011,39.0399999999996,30.0603005999989,41.0900000000007,41.2899999999987,47.6200000000016,36.4600000000018,64.5299999999979,41.8699999999989,56.58,36.6099999999993,54.3005430000012,43.4699999999994,51.71,28.2402824000003,27.0802707999999,42.8204281999992,34.7099999999991,45.3700000000016,32.1300000000004,177.020000000001,53.7999999999991,36.5703657,31.7899999999994,31.5403153999984,26.7102671000015,26.3302632999992,23.1500000000009,18.9701897000001,15.3401534000007,17.3401734000017,148.75,22.9502294999994,73.6300000000002,47.8699999999998,106.219999999997,86.6808668000003,59.11,56.8300000000005,54.4799999999991,41.08,37.5100000000018,51.1905118999988,17.8601785999985,21.5000000000009,11.3200000000006,18.6101861000012
"4",41.9704196999985,44.6304462999997,83.1408314000001,62.1606216000011,39.0403903999996,43.8599999999989,41.0904109000007,41.2904128999987,47.6204762000016,36.4603646000018,64.5306452999979,41.8704186999989,56.5805658,36.6103660999993,78.1007810000024,43.4704346999994,51.7105171,50.2100000000006,45.7904579000002,62.2606225999999,34.7103470999991,45.3704537000016,32.1303213000004,177.021770200001,53.8005379999991,62.4906248999994,31.7903178999994,49.5499999999991,42.3504235000004,39.0599999999981,23.1502315000009,27.9400000000001,23.850238500005,25.9900000000006,148.7514875,34.4999999999999,73.6307363000002,47.8704786999998,106.221062199997,118.290000000001,59.1105911,56.8305683000005,54.4805447999991,41.0804108,37.5103751000018,84.0299999999979,25.4499999999983,21.5002150000009,11.3201132000006,29.0700000000016
"5",60.3206031999983,75.1107511000014,117.0611706,87.9600000000014,65.3806538000022,43.8604385999989,57.9805798000003,67.2699999999958,65.720000000003,51.8305183000014,91.580915799996,60.0999999999985,80.070800699999,52.5705257000005,124.211242099998,60.3706036999982,73.6407364000011,50.2105021000006,58.4100000000006,98.7299999999973,48.809999999999,63.8806388000019,45.9804598000017,421.679999999998,115.261152599999,84.9099999999987,50.349999999999,49.5504954999991,60.1400000000021,39.0603905999981,36.460364600001,27.9402794000001,32.3800000000049,25.9902599000006,194.021940200001,34.5003449999999,116.8311683,71.9299999999999,143.839999999998,118.291182900001,94.0209402000009,90.3309033,105.591055899997,62.1899999999994,64.7206472000033,84.0308402999979,25.4502544999983,33.8703387000011,17.4301743000019,29.0702907000016
"6",87.6599999999989,94.4700000000021,180.590000000005,87.9608796000014,82.7000000000018,65.2700000000024,83.1708317000006,67.2706726999958,65.720657200003,77.5900000000017,142.701426999995,60.1006009999985,124.34,79.1499999999993,163.601635999999,88.5999999999991,110.200000000003,76.3907638999997,58.4105841000006,98.7309872999973,48.810488099999,95.4500000000042,70.8007080000055,421.684216799998,147.101470999999,84.9108490999987,50.350503499999,71.9999999999991,60.1406014000021,54.7199999999998,51.570515699999,37.480374799999,32.380323800005,35.759999999998,243.602436000002,49.9800000000037,197.181971800002,71.9307192999999,143.841438399998,153.701537000001,150.761507600001,136.851368500003,137.581375799997,62.1906218999994,87.7800000000041,129.6,33.3800000000006,44.5499999999982,22.9600000000042,38.0503805000018
"7",87.6608765999989,94.4709447000021,180.591805900005,127.24,82.7008270000018,65.2706527000024,111.420000000004,84.0208401999957,98.0099999999986,77.5907759000017,190.581905799995,87.399999999997,124.3412434,79.1507914999993,195.199999999999,88.6008859999991,110.201102000003,93.6509364999993,73.8707387000005,123.421234199997,74.9400000000022,95.4509545000042,89.0508905000056,521.375213699997,262.3526235,151.531515299999,74.6899999999993,72.0007199999991,77.8700000000009,54.7205471999998,70.8507084999959,47.4304742999972,41.2604126000074,35.760357599998,417.924179200001,49.9804998000037,332.783327800002,115.570000000002,183.871838699997,273.6127361,253.092530900002,232.272322700004,184.621846199999,93.629999999995,87.7808778000041,129.601296,33.3803338000006,44.5504454999982,22.9602296000042,48.0800000000018
"8",111.431114299999,120.331203300003,229.442294400004,127.2412724,104.8110481,82.4608246000024,111.421114200004,108.931089299996,98.0109800999986,99.8309983000012,229.342293399995,87.400873999997,157.7815778,100.501004999999,195.201951999999,116.241162399999,140.861408600002,114.391143899999,88.1008809999999,150.801507999997,74.9407494000022,122.901229000004,108.291082900005,790.387903799997,316.603166,180.521805199998,74.6907468999993,86.0108600999991,77.8707787000009,71.5307152999972,85.290852899999,55.4099999999969,48.6404864000071,44.9504494999991,520.425204199999,64.4306443000056,408.664086600002,115.571155700002,326.693266899999,327.503274999999,306.7430674,271.522715200003,275.942759399996,93.630936299995,104.421044200003,174.4117441,41.4404144,54.3905438999989,28.4202842000042,48.0804808000018
"9",143.931439300001,146.121461200002,281.260000000005,163.5416354,127.2512725,114.880000000002,133.081330800004,126.601265999996,127.561275599999,120.541205400002,296.249999999989,111.991119899997,214.882148799996,136.850000000002,270.120000000002,136.571365699999,161.531615300002,152.250000000002,97.8809787999999,213.849999999996,95.9009590000024,146.601466000005,144.540000000007,1093.79,341.333413299999,196.841968399997,96.7809678,115.901159,89.4508945000014,82.440824399997,95.9099999999992,55.410554099997,59.0405904000072,53.2905328999989,560.385603799999,75.1307513000052,443.760000000003,155.991559900004,395.433954300001,355.809999999999,334.8433484,298.340000000003,302.893028899996,148.059999999995,159.570000000001,221.012210099995,49.5504954999997,65.1906519000002,33.7603376000046,56.9005690000016
"10",164.531645300001,186.250000000004,281.262812600005,193.359999999998,161.900000000001,114.881148800002,164.510000000006,146.051460499997,152.721527199999,137.101371000003,296.252962499989,132.191321899998,257.042570399997,136.851368500002,270.122701200002,158.231582299998,187.920000000004,152.251522500002,128.920000000001,213.852138499996,114.681146800003,182.120000000002,144.541445400007,1093.8009379,361.553615499999,211.342113399997,136.58,137.361373599999,117.540000000003,93.3009329999966,95.9109590999992,65.8406583999995,67.1606716000095,63.7806377999999,684.6368463,95.1309513000052,443.764437600003,229.770000000002,428.654286500001,355.8135581,359.313593100001,298.342983400003,324.953249499996,148.061480599995,159.571595700001,244.482444799995,57.5205752000014,75.1007510000005,38.7403874000048,66.9506694999995
"11",187.86,186.251862500004,361.440000000005,193.361933599998,161.901619000001,130.551305500001,164.511645100006,173.050000000001,174.011740099999,164.540000000001,325.543255399989,149.181491799998,284.512845099997,157.461574600003,292.042920400002,184.951849499998,187.921879200004,164.331643300002,128.921289200001,228.952289499996,144.850000000005,182.121821200002,156.271562700007,1180.2218021,412.314123099999,240.412404099997,136.5813658,149.991499899999,117.541175400003,116.309999999997,105.691056899999,73.6907368999996,75.5907559000121,71.0607105999999,776.077760699999,104.421044200005,472.744727400003,229.772297700002,455.884558800002,419.924199200001,408.9340893,320.023200200003,373.193731899994,177.481774799995,189.211892100001,266.512665099995,63.5706357,84.9808498000028,44.2600000000047,75.9407593999964
